"date","site","pop"
2020-08-17,"MSD01",349850
2020-08-24,"MSD01",349850
2020-08-31,"MSD01",349850
2020-09-07,"MSD01",349850
2020-09-14,"MSD01",349850
2020-09-21,"MSD01",349850
2020-09-28,"MSD01",349850
2020-10-05,"MSD01",349850
2020-10-12,"MSD01",349850
2020-10-19,"MSD01",349850
2020-10-26,"MSD01",349850
2020-11-02,"MSD01",349850
2020-11-09,"MSD01",349850
2020-11-16,"MSD01",349850
2020-11-23,"MSD01",349850
2020-11-30,"MSD01",349850
2020-12-07,"MSD01",349850
2020-12-14,"MSD01",349850
2020-12-21,"MSD01",349850
2020-12-28,"MSD01",349850
2021-01-04,"MSD01",349850
2021-01-11,"MSD01",349850
2021-01-18,"MSD01",349850
2021-01-25,"MSD01",349850
2021-02-01,"MSD01",349850
2021-02-08,"MSD01",349850
2021-02-15,"MSD01",349850
2021-02-22,"MSD01",349850
