"beta","gamma","delta","rho","eps","psi","lp"
0.433424559637481,0.397198229900493,0.118866652271745,4.74470296982682e-05,0.00169473684977422,0.0214666169194727,-739.876723869355
0.548670072658102,0.510822771143223,0.115964619644177,4.66210838859942e-05,0.00124521277040077,0.0209398046259844,-739.683061198706
0.403392940921368,0.369871755147471,0.0933124378366778,7.70026894553712e-05,0.00148917751582066,0.0221722446257316,-740.347862180486
0.478393055611555,0.435980436948722,0.0825544209563363,2.87766884289107e-05,0.00279388491534298,0.0171569378077265,-743.718693391471
0.557985153722971,0.521955015788401,0.0696246651291597,4.89005480690118e-05,0.000359050452326899,0.0204435637248587,-745.226625385169
0.465087472811018,0.430608519475965,0.0725883940517702,8.75423697127182e-05,0.000175821514573033,0.023037823607023,-743.894152550761
0.538370608880997,0.499596929503644,0.114729857142011,4.58525597679528e-05,0.00398758901145327,0.0171776239525946,-742.577250312756
0.378922984969185,0.34643749580905,0.103127573217572,4.76890482688795e-05,0.00288435041218906,0.0167541600175499,-744.785721221107
0.530003568780217,0.490517446084502,0.119674151169205,6.0771670424872e-05,0.00104932457507137,0.0218162497367166,-741.000542590255
0.537069262310344,0.492479949966268,0.130571452081648,3.32059095984962e-05,0.0054682855623817,0.0203307940554847,-742.554844754835
0.563437115458119,0.525028841417025,0.119413903674979,4.70906449448597e-05,0.000515287436503805,0.0213425043364129,-742.247051506056
0.559546961875499,0.523935056870947,0.0884815871200492,5.25324978713873e-05,0.00161230501770631,0.0194097628028075,-742.297735991632
0.500083926706674,0.464664481887081,0.111570530842892,4.71900478198603e-05,0.00137396203929804,0.0166819198992564,-741.761747770118
0.440248853129647,0.403003109075473,0.116535840320824,3.87165671943178e-05,0.00142712467519905,0.0177364817087007,-741.206554242225
0.435074125789336,0.397074507162359,0.120066357169471,4.02533400010935e-05,0.000729051668369435,0.0192554613807322,-741.081158633601
0.472385208777798,0.433739449908438,0.0698184890218693,6.4642364568256e-05,0.00289390972676207,0.0173619817526823,-743.647897248482
0.495339921990217,0.452492202121796,0.111037607097336,1.96486181027844e-05,0.0015768557018052,0.0220531485951918,-741.880044367102
0.404597162472969,0.371795499780194,0.093937546758313,7.76514820178178e-05,0.00426480443901974,0.0193329526013414,-742.012080347737
0.488562259339083,0.445095303575757,0.090336999017924,4.31908599662819e-05,0.00355227437498055,0.0225466912873694,-741.968341669307
0.526644598186149,0.479234986660853,0.133091643825881,1.41292774909305e-05,0.00185989029134991,0.0210884881034667,-743.818012892052
0.5532726406406,0.515301437141539,0.0843920677594021,6.3368452882546e-05,0.000523058849936814,0.0210180799251373,-743.797126088372
0.536286590950179,0.495736575458966,0.116465538835325,2.68006488606107e-05,0.00192782978866099,0.015843602741549,-743.432500972798
0.407284140174129,0.369952479298622,0.0872286727736787,3.52016289920007e-05,0.000718325357223295,0.0207634945617382,-742.061275454774
0.414452525037868,0.378328582894049,0.120965007079283,5.46382622290475e-05,0.00107742276802441,0.0202296861436028,-740.185320022184
0.555830190546098,0.514631405287619,0.103410606561608,6.83886029965066e-05,0.00115610768505814,0.0247292856282852,-743.346361985853
0.31358425224132,0.28566040210672,0.110730525346635,0.000131783381563007,0.000426956583998667,0.0182183722377765,-746.464360899408
0.407156102056923,0.375680602805742,0.122507222286585,9.86549712845458e-05,0.000294170228145444,0.0206991783847197,-741.725760224334
0.646246363338334,0.60059353390599,0.105381329585183,3.05891637827215e-05,0.00227913731324726,0.0213525625586383,-742.331862725628
0.49508533226618,0.459051404467844,0.0878318895851972,6.34479712882852e-05,0.000551697661842034,0.020104835163804,-739.790609225655
0.507515976940174,0.477731762207458,0.0984558982564849,0.00011420531471718,0.000417646090189927,0.0218899222203358,-745.216895660163
0.511032139879571,0.479370768777266,0.103295097015583,0.000138544438604115,0.00245390773230697,0.0209848584762489,-742.396610548919
0.365612184101473,0.336107357187065,0.0732964947896504,0.000120115433038305,0.000918280389804303,0.0200106893051784,-743.150733688057
0.540746851664019,0.496647774378907,0.149091424652345,1.25350853766579e-05,0.000802416177009856,0.0208407689716515,-743.677205648202
0.489660140457838,0.454429016320503,0.103875270964453,7.34996308477362e-05,0.000283425862910222,0.0216834858596337,-743.545871977929
0.553047488132299,0.509631738916857,0.088581574273579,2.68357198236577e-05,0.00114648004767867,0.0203687141992937,-741.986724314128
0.397718359532986,0.371182701049738,0.0851072839964394,0.00019068049409074,0.00148774942978353,0.018480296162548,-743.510357450292
0.60647444712136,0.56757212646438,0.111823070695839,6.11928732453875e-05,0.000707676433265771,0.0227902550559679,-742.46045985946
0.492002644050498,0.449122196367661,0.0896847569552262,1.8806800448073e-05,0.00157630959030567,0.0222126298382004,-742.366430247986
0.641925211025194,0.590396738234858,0.089744892933765,1.00432546443135e-05,0.00123146479255679,0.0203524833282721,-742.601122833373
