"time","top","med","bottom","date"
0,0.000223134834581044,0.000112801811111725,2.46878764240533e-06,2020-06-10
0.5,0.000225265078086517,0.000113892847652842,2.52061721916757e-06,2020-06-10
1,0.000227412997393313,0.00011499326596147,2.57353452962689e-06,2020-06-11
1.5,0.000229578684987737,0.000116103123686831,2.62756238592476e-06,2020-06-11
2,0.000231762232669708,0.000117222478373829,2.68272407795071e-06,2020-06-12
2.5,0.000233963731520776,0.000118351387452047,2.73904338331907e-06,2020-06-12
3,0.000236183271871573,0.000119489908224563,2.79654457755294e-06,2020-06-13
3.5,0.000238420943268689,0.000120638097856584,2.85525244447952e-06,2020-06-13
4,0.000240676834440966,0.000121796013363904,2.91519228684112e-06,2020-06-14
4.5,0.000242951033265222,0.000122963711601174,2.97638993712632e-06,2020-06-14
5,0.000245243626731379,0.000124141249250003,3.03887176862583e-06,2020-06-15
5.5,0.000247554700907013,0.000125328682806865,3.10266470671749e-06,2020-06-15
6,0.000249884340901309,0.000126526068570847,3.1677962403853e-06,2020-06-16
6.5,0.000252232630828422,0.0001277334626312,3.23429443397712e-06,2020-06-16
7,0.000254599653770251,0.000128950920854728,3.30218793920594e-06,2020-06-17
7.5,0.000256985491738603,0.000130178498873001,3.37150600739978e-06,2020-06-17
8,0.000259390225636766,0.000131416252069386,3.44227850200518e-06,2020-06-18
8.5,0.00026181393522048,0.000132664235565915,3.51453591134955e-06,2020-06-18
9,0.000264256699058295,0.000133922504209981,3.58830936166753e-06,2020-06-19
9.5,0.000266718594491338,0.000135191112560867,3.66363063039693e-06,2020-06-19
10,0.000269199697592463,0.000136470114876106,3.74053215974954e-06,2020-06-20
10.5,0.0002717000831248,0.000137759565097681,3.81904707056254e-06,2020-06-20
11,0.000274219824499689,0.000139059516838063,3.89920917643612e-06,2020-06-21
11.5,0.000276758993734017,0.00014037002336609,3.98105299816324e-06,2020-06-21
12,0.000279317661406937,0.000141691137592697,4.06461377845728e-06,2020-06-22
12.5,0.00028189589661598,0.000143022912056482,4.14992749698385e-06,2020-06-22
13,0.000284493766932567,0.000144365398909135,4.2370308857027e-06,2020-06-23
13.5,0.000287111338356903,0.000145718649900715,4.32596144452622e-06,2020-06-23
14,0.000289748675272277,0.000147082716364789,4.41675745730075e-06,2020-06-24
14.5,0.000292405840398746,0.000148457649203431,4.50945800811734e-06,2020-06-24
15,0.000295082894746224,0.000149843498872092,4.60410299795861e-06,2020-06-25
15.5,0.000297779897566974,0.000151240315364331,4.70073316168848e-06,2020-06-25
16,0.00030049690630749,0.000152648148196441,4.79939008539161e-06,2020-06-26
16.5,0.000303233976559797,0.000154067046391933,4.90011622406974e-06,2020-06-26
17,0.000305991162012151,0.000155497058465926,5.00295491970204e-06,2020-06-27
17.5,0.000308768514399157,0.000156938232409417,5.10795041967672e-06,2020-06-27
18,0.000311566083451299,0.00015839061567345,5.21514789560154e-06,2020-06-28
18.5,0.000314383916843894,0.000159854255153198,5.32459346250064e-06,2020-06-28
19,0.000317222060145471,0.000161329197171938,5.43633419840558e-06,2020-06-29
19.5,0.000320080556765576,0.000162815487464962,5.55041816434837e-06,2020-06-29
20,0.000322959447902028,0.000164313171163396,5.66689442476464e-06,2020-06-30
20.5,0.000325858772487601,0.000165822292777958,5.78581306831508e-06,2020-06-30
21,0.00032877856713617,0.000167342896182652,5.90722522913355e-06,2020-07-01
21.5,0.00033171886608831,0.00016887502459841,6.03118310851034e-06,2020-07-01
22,0.000334679701156356,0.000170418720576687,6.15773999701925e-06,2020-07-02
22.5,0.000337661101668945,0.000171974025983021,6.28695029709731e-06,2020-07-02
23,0.000340663094415036,0.000173540981980561,6.41886954608625e-06,2020-07-03
23.5,0.000343685703587422,0.000175119629013583,6.55355443974471e-06,2020-07-03
24,0.000346728950725745,0.000176710006790993,6.69106285624061e-06,2020-07-04
24.5,0.000349792854659024,0.000178312154269829,6.8314538806333e-06,2020-07-04
25,0.000352877431447706,0.000179926109638781,6.97478782985494e-06,2020-07-05
25.5,0.000355982694325253,0.000181551910301727,7.12112627820114e-06,2020-07-05
26,0.000359108653639274,0.000183189592861308,7.27053208334094e-06,2020-07-06
26.5,0.000362255316792222,0.000184839193102539,7.42306941285615e-06,2020-07-06
27,0.000365422688181659,0.00018650074597649,7.5788037713207e-06,2020-07-07
27.5,0.000368610769140117,0.000188174285584023,7.73780202793041e-06,2020-07-07
28,0.00037181955787455,0.000189859845159622,7.90013244469415e-06,2020-07-08
28.5,0.000375049049405421,0.000191557457055309,8.06586470519722e-06,2020-07-08
29,0.000378299235505401,0.000193267152724675,8.23506994394819e-06,2020-07-09
29.5,0.000382156446075197,0.000195282133425759,8.40782077632068e-06,2020-07-09
30,0.000386068658753699,0.0001973264250414,8.58419132910148e-06,2020-07-10
30.5,0.00039001263185258,0.000199388444562118,8.76425727165699e-06,2020-07-10
31,0.000393988436184886,0.000201468266016308,8.94809584772985e-06,2020-07-11
31.5,0.000397996137961037,0.000203565961934458,9.13578590787806e-06,2020-07-11
32,0.000402035798665619,0.000205681603304094,9.32740794256891e-06,2020-07-12
32.5,0.000406107474932814,0.000207815259524377,9.52304411594052e-06,2020-07-12
33,0.000410211218420461,0.000209966998360352,9.72277830024367e-06,2020-07-13
33.5,0.000414347075682786,0.000212136885896882,9.92669611097713e-06,2020-07-13
34,0.000418515088041835,0.000214324986492282,1.01348849427298e-05,2020-07-14
34.5,0.000422715291457624,0.000216531362731683,1.03474340057429e-05,2020-07-14
35,0.000426947716397047,0.000218756075380127,1.05644343632067e-05,2020-07-15
35.5,0.000431212387701579,0.000220999183335442,1.07859789693049e-05,2020-07-15
36,0.000435509324453797,0.000223260743580909,1.10121627080212e-05,2020-07-16
36.5,0.000439838539842768,0.000225540811137745,1.12430824327232e-05,2020-07-16
37,0.000444200041028335,0.000227839439017436,1.1478837006537e-05,2020-07-17
37.5,0.000448593829004346,0.000230156678173937,1.17195273435287e-05,2020-07-17
38,0.000453019898460871,0.000232492577455789,1.19652564507073e-05,2020-07-18
38.5,0.000457478237645448,0.000234847183558156,1.22161294708648e-05,2020-07-18
39,0.000461968828223407,0.000237220540974838,1.24722537262686e-05,2020-07-19
39.5,0.000466491645137327,0.000239612691950275,1.27337387632228e-05,2020-07-19
40,0.000471046656465672,0.000242023676431593,1.30006963975143e-05,2020-07-20
40.5,0.000475633823280659,0.000244453532020709,1.32732407607604e-05,2020-07-20
41,0.000480253099505427,0.00024690229392655,1.35514883476734e-05,2020-07-21
41.5,0.000484904431770552,0.000249369994917407,1.38355580642614e-05,2020-07-21
42,0.000489587759269976,0.000251856665273478,1.41255712769803e-05,2020-07-22
42.5,0.000494303013616416,0.000254362332739636,1.44216518628554e-05,2020-07-22
43,0.000499050118696318,0.000256887022478454,1.47239262605908e-05,2020-07-23
43.5,0.000503828990524418,0.000259430757023551,1.50325235226838e-05,2020-07-23
44,0.000508639537097999,0.000261993556233281,1.53475753685627e-05,2020-07-24
44.5,0.000513481658250899,0.000264575437244833,1.56692162387668e-05,2020-07-24
45,0.000518355245507361,0.000267176414428774,1.59975833501875e-05,2020-07-25
45.5,0.000523260181935789,0.000269796499344089,1.63328167523889e-05,2020-07-25
46,0.000528196342002518,0.000272435700693773,1.66750593850278e-05,2020-07-26
46.5,0.000533163591425651,0.000275094024281022,1.70244571363927e-05,2020-07-26
47,0.000538161787029075,0.000277771472966078,1.7381158903081e-05,2020-07-27
47.5,0.000543190776596732,0.000280468046623784,1.77453166508354e-05,2020-07-27
48,0.000548250398727247,0.000283183742101903,1.81170854765595e-05,2020-07-28
48.5,0.000553340482689,0.000285918553180266,1.84966236715322e-05,2020-07-28
49,0.000558460848275749,0.000288672470530797,1.88840927858446e-05,2020-07-29
49.5,0.000563611305662893,0.000291445481678485,1.92796576940769e-05,2020-07-29
50,0.000569903661740485,0.000294793574201362,1.96834866622394e-05,2020-07-30
50.5,0.000577284229398834,0.000298689990407417,2.00957514159991e-05,2020-07-30
51,0.000584747533205196,0.000302632080207704,2.05166272102118e-05,2020-07-31
51.5,0.000592294145463444,0.000306620219181614,2.09462928997842e-05,2020-07-31
52,0.00059992463200693,0.000310654781509409,2.13849310118872e-05,2020-08-01
52.5,0.000607639551813289,0.000314736139816416,2.18327278195439e-05,2020-08-01
53,0.000615439456610216,0.000318864665013415,2.22898734166135e-05,2020-08-02
53.5,0.000623324890472147,0.000323040726133172,2.27565617941966e-05,2020-08-02
54,0.000631296389407779,0.000327264690163132,2.32329909184838e-05,2020-08-03
54.5,0.000639354480938366,0.000331536921874218,2.3719362810071e-05,2020-08-03
55,0.000647499683666743,0.000335857783645755,2.42158836247668e-05,2020-08-04
55.5,0.00065573250683704,0.000340227635286477,2.47227637359136e-05,2020-08-04
56,0.000664053449885029,0.000344646833851639,2.52402178182494e-05,2020-08-05
56.5,0.000672463001979083,0.000349115733456208,2.57684649333327e-05,2020-08-05
57,0.000680961641551717,0.000353634685084136,2.63077286165555e-05,2020-08-06
57.5,0.000689549835821698,0.000358204036393734,2.68582369657701e-05,2020-08-06
58,0.000698228040306699,0.000362824131519126,2.7420222731554e-05,2020-08-07
58.5,0.000706996698326508,0.000367495310867823,2.79939234091375e-05,2020-08-07
59,0.000715856240496793,0.000372217910914407,2.85795813320207e-05,2020-08-08
59.5,0.000724807084213433,0.000376992263990369,2.91774437673039e-05,2020-08-08
60,0.000733849633127447,0.000381818698070102,2.97877630127579e-05,2020-08-09
60.5,0.00074298427661054,0.0003866975365531,3.04107964956591e-05,2020-08-09
61,0.000752211389211334,0.000391629098042375,3.10468068734159e-05,2020-08-10
61.5,0.000761531330102305,0.000396613696119158,3.16960621360114e-05,2020-08-10
62,0.000770944442517521,0.000401651639113905,3.23588357102892e-05,2020-08-11
62.5,0.000780451053181234,0.000406743229873671,3.30354065661074e-05,2020-08-11
63,0.000790051471727435,0.000411888765525911,3.37260593243866e-05,2020-08-12
63.5,0.000799745990110448,0.000417088537238764,3.44310843670794e-05,2020-08-12
64,0.000809534882006691,0.000422342829977888,3.51507779490848e-05,2020-08-13
64.5,0.000819418402207733,0.000427651922259935,3.58854423121359e-05,2020-08-13
65,0.000829396786004765,0.000433016085902725,3.6635385800685e-05,2020-08-14
65.5,0.000839470248564664,0.000438435585772238,3.74009229798122e-05,2020-08-14
66,0.000849638984297792,0.000443910679526488,3.81823747551839e-05,2020-08-15
66.5,0.000859903166217736,0.00044944161735641,3.89800684950851e-05,2020-08-15
67,0.000870262945293159,0.000455028641723856,3.97943381545527e-05,2020-08-16
67.5,0.000880718449792004,0.000460671987096819,4.06255244016329e-05,2020-08-16
68,0.000891269784618253,0.000466371879682021,4.14739747457891e-05,2020-08-17
68.5,0.000901917030641502,0.000472128537154993,4.23400436684834e-05,2020-08-17
69,0.000912660244019612,0.000477942168387785,4.32240927559575e-05,2020-08-18
69.5,0.000923499455514712,0.000483812973174474,4.41264908342356e-05,2020-08-18
70,0.000934434669802847,0.00048974114195461,4.50476141063727e-05,2020-08-19
70.5,0.000945465864777606,0.000495726855534789,4.5987846291973e-05,2020-08-19
71,0.000956592990848036,0.000501770284808517,4.69475787689982e-05,2020-08-20
71.5,0.000967815970231218,0.000507871590474554,4.79272107178906e-05,2020-08-20
72,0.000979134696239869,0.00051403092275395,4.89271492680297e-05,2020-08-21
72.5,0.000990549032565361,0.000520248421105953,4.99478096465456e-05,2020-08-21
73,0.00100205881255657,0.000526524213943039,5.09896153295073e-05,2020-08-22
73.5,0.001013663838495,0.00053285841834525,5.20529981955056e-05,2020-08-22
74,0.00102536388086659,0.000539251139774122,5.31383986816508e-05,2020-08-23
74.5,0.0010371586776308,0.000545702471786402,5.4246265942e-05,2020-08-23
75,0.00104904793348727,0.000552212495747854,5.53770580084331e-05,2020-08-24
75.5,0.00106103131914079,0.000558781280547389,5.65312419539919e-05,2020-08-24
76,0.00107310847056493,0.000565408882311813,5.77092940586973e-05,2020-08-25
76.5,0.0010852789882651,0.000572095344121478,5.89116999778579e-05,2020-08-25
77,0.00109754243654137,0.000578840695727128,6.01389549128826e-05,2020-08-26
77.5,0.00110989834275192,0.000585644953268262,6.13915637846066e-05,2020-08-26
78,0.0011223461965775,0.000592508118993324,6.26700414091428e-05,2020-08-27
78.5,0.00113488544928783,0.000599430180982046,6.39749126762635e-05,2020-08-27
79,0.0011475155130103,0.000606411112870308,6.53067127303216e-05,2020-08-28
79.5,0.00116023576000196,0.000613450873577837,6.66659871537135e-05,2020-08-28
80,0.00117304552192537,0.000620549407039129,6.80532921528877e-05,2020-08-29
80.5,0.00118594408912902,0.000627706641937962,6.94691947469008e-05,2020-08-29
81,0.00119893070993325,0.000634922491445882,7.09142729585172e-05,2020-08-30
81.5,0.00121200458992225,0.000642196852965051,7.23891160078523e-05,2020-08-30
82,0.0012251648912432,0.000649529607875875,7.38943245085512e-05,2020-08-31
82.5,0.00123841073191313,0.000656920621289813,7.54305106664963e-05,2020-08-31
83,0.00125174118513457,0.000664369741807802,7.69982984810329e-05,2020-09-01
83.5,0.00126515527862074,0.000671876801284718,7.85983239486991e-05,2020-09-01
84,0.00127865199393123,0.00067944161460034,8.02312352694457e-05,2020-09-02
84.5,0.00129223026581915,0.000687063979437237,8.18976930553246e-05,2020-09-02
85,0.00130588898159053,0.000694743676066078,8.35983705416264e-05,2020-09-03
85.5,0.00131962698047715,0.000702480467138797,8.5333953800439e-05,2020-09-03
86,0.00133344305302364,0.000710274097490121,8.71051419566016e-05,2020-09-04
86.5,0.00134733594048986,0.000718124293947937,8.89126474060181e-05,2020-09-04
87,0.00136130433426966,0.00072603076515298,9.07571960362967e-05,2020-09-05
87.5,0.00137534687532705,0.000733993201388364,9.26395274496736e-05,2020-09-05
88,0.00138946215365071,0.000742011274419446,9.45603951881772e-05,2020-09-06
88.5,0.00140364870772811,0.000750084637344547,9.6520566960983e-05,2020-09-06
89,0.00141790502404017,0.000758212924457039,9.85208248739067e-05,2020-09-07
89.5,0.00143222953657767,0.000766395751119326,0.000100561965660977,2020-09-07
90,0.00144662062638048,0.000774632713649249,0.000102644800918023,2020-09-08
90.5,0.00146232562609152,0.000783547891714863,0.00010477015733821,2020-09-08
91,0.00147830334739513,0.000792621112172289,0.000106938876949451,2020-09-09
91.5,0.00149436450180828,0.000801758159580942,0.000109151817353602,2020-09-09
92,0.00151050704236278,0.000810958447165077,0.000111409851967374,2020-09-10
92.5,0.00152672884859772,0.000820221359431288,0.000113713870264858,2020-09-10
93,0.00154302772592828,0.000829546251974918,0.000116064778021553,2020-09-11
93.5,0.00155940140505525,0.000838932451307538,0.000118463497559822,2020-09-11
94,0.00157584754141719,0.000848379254706408,0.000120910967995627,2020-09-12
94.5,0.00159236371468728,0.000857885930086863,0.000123408145486447,2020-09-12
95,0.00160894742831684,0.00086745171589854,0.000125956003480244,2020-09-13
95.5,0.00162559610912743,0.00087707582104638,0.000128555532965329,2020-09-13
96,0.00164230710695368,0.000886757424837341,0.000131207742721,2020-09-14
96.5,0.00165907769433867,0.000896495676953733,0.000133913659568792,2020-09-14
97,0.00167590506628404,0.000906289697454099,0.000136674328624161,2020-09-15
97.5,0.00169278634005667,0.000916138576802559,0.00013949081354845,2020-09-15
98,0.00170971855505405,0.000926041375927502,0.00014236419680095,2020-09-16
98.5,0.00172669867273022,0.00093599712631053,0.000145295579890839,2020-09-16
99,0.00174372357658421,0.00094600483010652,0.000148286083628834,2020-09-17
99.5,0.00176079007221303,0.000956063460295666,0.000151336848378304,2020-09-17
100,0.00177789488743104,0.000966171960868337,0.000154449034305637,2020-09-18
100.5,0.00179503467245752,0.000976329247043571,0.000157623821629619,2020-09-18
101,0.00181220600017444,0.000986534205522003,0.000160862410869566,2020-09-19
101.5,0.00182940536645602,0.000996785694773985,0.000164166023091951,2020-09-19
102,0.00184662919057206,0.00100708254536365,0.000167535900155241,2020-09-20
102.5,0.00186387381566656,0.00101742356030961,0.000170973304952663,2020-09-20
103,0.00188113550931343,0.001027807515483,0.000174479521652572,2020-09-21
103.5,0.00189841046415074,0.00103823316004343,0.000178055855936121,2020-09-21
104,0.00191569479859522,0.00104869921691355,0.000181703635231877,2020-09-22
104.5,0.00193298455763825,0.00105920438329265,0.000185424208947045,2020-09-22
105,0.00195027571372495,0.00106974733120993,0.00018921894869491,2020-09-23
105.5,0.00196756416771753,0.00108032670811783,0.000193089248518129,2020-09-23
106,0.00198484574994418,0.00109094113752582,0.000197036525107454,2020-09-24
106.5,0.00200211622133461,0.00110158921967504,0.000201062218015466,2020-09-24
107,0.00201937127464329,0.00111226953225408,0.000205167789864879,2020-09-25
107.5,0.00203660653576134,0.00112134202865837,0.000206077521555405,2020-09-25
108,0.00205381756511788,0.00113015843709874,0.000206499309079608,2020-09-26
108.5,0.00207099985917154,0.00113895935789104,0.000206918856610533,2020-09-26
109,0.00208814885199284,0.00114774249637922,0.000207336140765588,2020-09-27
109.5,0.00210525991693774,0.0011565055275758,0.000207751138213868,2020-09-27
110,0.00212232836841289,0.0011652460970458,0.000208163825678704,2020-09-28
110.5,0.00213934946373278,0.0011739618218365,0.000208574179940215,2020-09-28
111,0.00215631840506874,0.0011826502914533,0.000208982177837866,2020-09-29
111.5,0.00217323034148994,0.00119130906888149,0.000209387796273038,2020-09-29
112,0.00219008037109611,0.00119993569165385,0.000209791012211596,2020-09-30
112.5,0.00220686354324156,0.00120852767296401,0.000210191802686468,2020-09-30
