"time","top","med","bottom","date"
0,0.000137950799092702,7.28762246595504e-05,7.80165022639864e-06,2020-06-10
0.5,0.00013976968478825,7.38596496149241e-05,7.94961444159846e-06,2020-06-10
1,0.000141611649390844,7.48560145849915e-05,8.10037977913892e-06,2020-06-11
1.5,0.000143476961354779,7.58654802127138e-05,8.25399907064902e-06,2020-06-11
2,0.000145365891591689,7.68882088641793e-05,8.41052613666998e-06,2020-06-12
2.5,0.000147278713474002,7.79243646394394e-05,8.57001580487648e-06,2020-06-12
3,0.000149215702837733,7.89741133831775e-05,8.73252392862233e-06,2020-06-13
3.5,0.000151177137984591,8.00376226952036e-05,8.8981074058162e-06,2020-06-13
4,0.000153163299683396,8.11150619407643e-05,9.06682419813259e-06,2020-06-14
4.5,0.000155174471170751,8.22066022606573e-05,9.23873335056365e-06,2020-06-14
5,0.000157210938150971,8.33124165811442e-05,9.41389501131743e-06,2020-06-15
5.5,0.000159272988795225,8.44326796236466e-05,9.59237045206805e-06,2020-06-15
6,0.000161360913739877,8.55675679142201e-05,9.77422208856364e-06,2020-06-16
6.5,0.000163475006083985,8.67172597927916e-05,9.95951350159777e-06,2020-06-16
7,0.000165615561385953,8.78819354221514e-05,1.01483094583502e-05,2020-06-17
7.5,0.000167782877659275,8.90617767966887e-05,1.03406759341027e-05,2020-06-17
8,0.000169977255367379,9.02569677508577e-05,1.05366801343367e-05,2020-06-18
8.5,0.000172198997417511,9.14676939673643e-05,1.07363905172172e-05,2020-06-18
9,0.000174448409153651,9.2694142985061e-05,1.0939876816471e-05,2020-06-19
9.5,0.00017672579834841,9.39365042065372e-05,1.11472100646643e-05,2020-06-19
10,0.0001790314751939,9.51949689053931e-05,1.13584626168857e-05,2020-06-20
10.5,0.000181365752291525,9.64697302331836e-05,1.15737081748422e-05,2020-06-20
11,0.000183728944640669,9.7760983226021e-05,1.17930218113732e-05,2020-06-21
11.5,0.000186121369626251,9.90689248108204e-05,1.20164799953896e-05,2020-06-21
12,0.000188543347005108,0.000100393753811177,1.22441606172451e-05,2020-06-22
12.5,0.00019099519889117,0.000101735670952858,1.2476143014545e-05,2020-06-22
13,0.0001934772497394,0.0001030948788689,1.27125079984004e-05,2020-06-23
13.5,0.000195989826328451,0.000104471582104292,1.29533378801338e-05,2020-06-23
14,0.000198533257742023,0.000105865987120233,1.31987164984431e-05,2020-06-24
14.5,0.000201107875348855,0.000107278302297943,1.34487292470314e-05,2020-06-24
15,0.000203714012781342,0.000108708737942025,1.37034631027082e-05,2020-06-25
15.5,0.000206352005912724,0.000110157506283347,1.39630066539705e-05,2020-06-25
